# ----------------------------------------
# Library Website
# New vs Returning
# 20180820-20180909
# ----------------------------------------

User Type,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
New Visitor,desktop,"3,716","3,717","3,717",61.58%,2.10,00:02:13,0.00%,0,$0.00
Returning Visitor,desktop,"2,752",0,"7,364",59.08%,2.32,00:04:10,0.00%,0,$0.00
New Visitor,mobile,"1,339","1,339","1,339",71.77%,1.78,00:01:15,0.00%,0,$0.00
Returning Visitor,mobile,578,0,943,77.62%,1.45,00:00:56,0.00%,0,$0.00
New Visitor,tablet,150,151,151,62.25%,1.88,00:02:02,0.00%,0,$0.00
Returning Visitor,tablet,70,0,118,68.64%,1.77,00:02:00,0.00%,0,$0.00
,,"8,605","5,207","13,632",62.41%,2.14,00:03:05,0.00%,0,$0.00

Day Index,Users
8/20/18,869
8/21/18,736
8/22/18,729
8/23/18,575
8/24/18,462
8/25/18,235
8/26/18,352
8/27/18,636
8/28/18,566
8/29/18,675
8/30/18,590
8/31/18,436
9/1/18,253
9/2/18,304
9/3/18,365
9/4/18,653
9/5/18,718
9/6/18,626
9/7/18,534
9/8/18,296
9/9/18,468
,"11,078"
