# ----------------------------------------
# Library Website
# New vs Returning
# 20160822-20160911
# ----------------------------------------

User Type,Landing Page,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
New Visitor,www.lib.uidaho.edu/,"2,475","2,475","2,475",14.99%,2.31,00:03:40,0.00%,0,$0.00
Returning Visitor,www.lib.uidaho.edu/,"2,187",0,"5,990",22.17%,2.24,00:04:54,0.00%,0,$0.00
New Visitor,www.lib.uidaho.edu/services/reserve/,168,168,168,13.69%,2.99,00:01:54,0.00%,0,$0.00
New Visitor,www.lib.uidaho.edu/digital/idahosnow/map2015.html,167,167,167,85.63%,1.18,00:00:34,0.00%,0,$0.00
New Visitor,www.lib.uidaho.edu/about/hours.html,146,146,146,88.36%,1.29,00:00:54,0.00%,0,$0.00
Returning Visitor,www.lib.uidaho.edu/about/hours.html,141,0,182,86.26%,1.26,00:00:28,0.00%,0,$0.00
Returning Visitor,www.lib.uidaho.edu/services/reserve/,131,0,287,9.41%,4.11,00:04:44,0.00%,0,$0.00
Returning Visitor,www.lib.uidaho.edu/find/articles.html,129,0,209,11.00%,2.44,00:04:11,0.00%,0,$0.00
New Visitor,www.lib.uidaho.edu/find/articles.html,101,101,101,15.84%,3.26,00:04:24,0.00%,0,$0.00
New Visitor,www.lib.uidaho.edu/digital/campus/locations/Bookstore.html,98,98,98,81.63%,1.47,00:00:27,0.00%,0,$0.00
,,"9,964","5,757","14,634",34.03%,2.26,00:03:47,0.00%,0,$0.00

Day Index,Users
8/22/16,924
8/23/16,901
8/24/16,717
8/25/16,647
8/26/16,486
8/27/16,283
8/28/16,406
8/29/16,727
8/30/16,723
8/31/16,737
9/1/16,571
9/2/16,476
9/3/16,223
9/4/16,291
9/5/16,432
9/6/16,768
9/7/16,639
9/8/16,618
9/9/16,495
9/10/16,298
9/11/16,428
,"11,790"
