# ----------------------------------------
# Library Website
# New vs Returning
# 20160822-20160911
# ----------------------------------------

User Type,Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
New Visitor,google,"2,997","2,997","2,997",42.54%,2.07,00:02:11,0.00%,0,$0.00
New Visitor,(direct),"2,381","2,382","2,382",39.46%,2.15,00:03:06,0.00%,0,$0.00
Returning Visitor,google,"2,036",0,"4,448",26.17%,2.29,00:03:55,0.00%,0,$0.00
Returning Visitor,(direct),"1,040",0,"2,745",35.70%,2.15,00:04:07,0.00%,0,$0.00
New Visitor,bing,141,141,141,36.17%,2.21,00:02:51,0.00%,0,$0.00
Returning Visitor,bing,120,0,272,27.94%,2.32,00:03:59,0.00%,0,$0.00
New Visitor,yahoo,86,86,86,38.37%,2.58,00:03:22,0.00%,0,$0.00
Returning Visitor,uidaho.edu,86,0,182,21.43%,2.12,00:02:44,0.00%,0,$0.00
Returning Visitor,yahoo,65,0,138,26.81%,2.09,00:04:02,0.00%,0,$0.00
Returning Visitor,na01.alma.exlibrisgroup.com,59,0,155,41.94%,1.95,00:02:36,0.00%,0,$0.00
,,"9,391","5,757","14,634",34.03%,2.26,00:03:47,0.00%,0,$0.00

Day Index,Users
8/22/16,924
8/23/16,901
8/24/16,717
8/25/16,647
8/26/16,486
8/27/16,283
8/28/16,406
8/29/16,727
8/30/16,723
8/31/16,737
9/1/16,571
9/2/16,476
9/3/16,223
9/4/16,291
9/5/16,432
9/6/16,768
9/7/16,639
9/8/16,618
9/9/16,495
9/10/16,298
9/11/16,428
,"11,790"
