# ----------------------------------------
# Library Website
# New vs Returning
# 20180820-20180909
# ----------------------------------------

User Type,Landing Page,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
New Visitor,www.lib.uidaho.edu/,"2,259","2,260","2,260",58.19%,2.19,00:02:46,0.00%,0,$0.00
Returning Visitor,www.lib.uidaho.edu/,"2,203",0,"5,823",60.98%,2.19,00:04:05,0.00%,0,$0.00
New Visitor,www.lib.uidaho.edu/digital/idahosnow/map2015.html,251,251,251,82.87%,1.25,00:00:39,0.00%,0,$0.00
Returning Visitor,www.lib.uidaho.edu/find/articles.html,135,0,187,71.12%,1.94,00:02:16,0.00%,0,$0.00
Returning Visitor,www.lib.uidaho.edu/digital/idahosnow/map2015.html,132,0,225,80.00%,1.34,00:00:49,0.00%,0,$0.00
New Visitor,www.lib.uidaho.edu/services/workshops/resources/UIdaho_git_workshop.pdf,120,120,120,84.17%,1.28,00:00:32,0.00%,0,$0.00
Returning Visitor,www.lib.uidaho.edu/about/hours.html,104,0,154,84.42%,1.36,00:00:59,0.00%,0,$0.00
New Visitor,www.lib.uidaho.edu/digital/campus/m/locations/NiccollsHomeEconomicsBuilding.html,92,92,92,70.65%,1.76,00:01:49,0.00%,0,$0.00
New Visitor,www.lib.uidaho.edu/about/hours.html,90,90,90,88.89%,1.30,00:00:45,0.00%,0,$0.00
Returning Visitor,www.lib.uidaho.edu/find/,90,0,109,12.84%,3.34,00:03:17,0.00%,0,$0.00
,,"9,371","5,207","13,632",62.41%,2.14,00:03:05,0.00%,0,$0.00

Day Index,Users
8/20/18,869
8/21/18,736
8/22/18,729
8/23/18,575
8/24/18,462
8/25/18,235
8/26/18,352
8/27/18,636
8/28/18,566
8/29/18,675
8/30/18,590
8/31/18,436
9/1/18,253
9/2/18,304
9/3/18,365
9/4/18,653
9/5/18,718
9/6/18,626
9/7/18,534
9/8/18,296
9/9/18,468
,"11,078"
