# ----------------------------------------
# Library Website
# New vs Returning
# 20180820-20180909
# ----------------------------------------

User Type,Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
New Visitor,google,"2,762","2,764","2,764",64.76%,2.07,00:01:51,0.00%,0,$0.00
Returning Visitor,google,"2,151",0,"4,534",62.95%,2.19,00:03:18,0.00%,0,$0.00
New Visitor,(direct),"2,072","2,072","2,072",63.90%,1.94,00:02:08,0.00%,0,$0.00
Returning Visitor,(direct),991,0,"2,285",65.56%,1.92,00:02:28,0.00%,0,$0.00
New Visitor,bing,181,181,181,61.33%,1.98,00:01:57,0.00%,0,$0.00
Returning Visitor,bing,104,0,330,53.64%,2.37,00:04:59,0.00%,0,$0.00
Returning Visitor,alliance-primo-pds.hosted.exlibrisgroup.com,70,0,177,65.54%,1.77,00:02:43,0.00%,0,$0.00
New Visitor,yahoo,49,49,49,53.06%,2.37,00:01:57,0.00%,0,$0.00
Returning Visitor,yahoo,35,0,48,56.25%,1.88,00:02:21,0.00%,0,$0.00
Returning Visitor,api3.libcal.com,22,0,116,35.34%,4.16,00:11:54,0.00%,0,$0.00
,,"8,759","5,207","13,632",62.41%,2.14,00:03:05,0.00%,0,$0.00

Day Index,Users
8/20/18,869
8/21/18,736
8/22/18,729
8/23/18,575
8/24/18,462
8/25/18,235
8/26/18,352
8/27/18,636
8/28/18,566
8/29/18,675
8/30/18,590
8/31/18,436
9/1/18,253
9/2/18,304
9/3/18,365
9/4/18,653
9/5/18,718
9/6/18,626
9/7/18,534
9/8/18,296
9/9/18,468
,"11,078"
