# ----------------------------------------
# Library Website
# New vs Returning
# 20170821-20170910
# ----------------------------------------

User Type,Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
New Visitor,google,"3,113","3,115","3,115",42.28%,2.05,00:01:56,0.00%,0,$0.00
New Visitor,(direct),"3,051","3,051","3,051",51.88%,1.95,00:02:11,0.00%,0,$0.00
Returning Visitor,google,"2,288",0,"4,475",24.96%,2.24,00:03:10,0.00%,0,$0.00
Returning Visitor,(direct),"1,216",0,"2,591",33.62%,2.04,00:03:02,0.00%,0,$0.00
Returning Visitor,alliance-primo-pds.hosted.exlibrisgroup.com,379,0,"1,586",17.72%,3.16,00:07:37,0.00%,0,$0.00
New Visitor,bing,224,224,224,23.21%,2.14,00:02:25,0.00%,0,$0.00
Returning Visitor,bing,133,0,284,19.72%,2.26,00:03:13,0.00%,0,$0.00
New Visitor,yahoo,94,94,94,32.98%,2.27,00:03:24,0.00%,0,$0.00
Returning Visitor,yahoo,70,0,138,23.91%,2.36,00:03:18,0.00%,0,$0.00
Returning Visitor,scholar.google.com,55,0,194,13.92%,3.08,00:10:03,0.00%,0,$0.00
,,"10,989","6,630","16,637",33.91%,2.25,00:03:30,0.00%,0,$0.00

Day Index,Users
8/21/17,863
8/22/17,906
8/23/17,834
8/24/17,724
8/25/17,564
8/26/17,271
8/27/17,378
8/28/17,818
8/29/17,805
8/30/17,784
8/31/17,693
9/1/17,516
9/2/17,246
9/3/17,305
9/4/17,477
9/5/17,819
9/6/17,844
9/7/17,780
9/8/17,627
9/9/17,381
9/10/17,599
,"13,234"
