# ----------------------------------------
# Library Website
# New vs Returning
# 20160822-20160911
# ----------------------------------------

User Type,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
New Visitor,desktop,"4,141","4,143","4,143",34.85%,2.28,00:03:04,0.00%,0,$0.00
Returning Visitor,desktop,"2,811",0,"7,751",25.55%,2.45,00:04:59,0.00%,0,$0.00
New Visitor,mobile,"1,411","1,411","1,411",59.32%,1.69,00:01:18,0.00%,0,$0.00
Returning Visitor,mobile,586,0,971,60.04%,1.55,00:01:17,0.00%,0,$0.00
New Visitor,tablet,203,203,203,43.35%,2.18,00:02:18,0.00%,0,$0.00
Returning Visitor,tablet,83,0,155,30.97%,1.92,00:02:45,0.00%,0,$0.00
,,"9,235","5,757","14,634",34.03%,2.26,00:03:47,0.00%,0,$0.00

Day Index,Users
8/22/16,924
8/23/16,901
8/24/16,717
8/25/16,647
8/26/16,486
8/27/16,283
8/28/16,406
8/29/16,727
8/30/16,723
8/31/16,737
9/1/16,571
9/2/16,476
9/3/16,223
9/4/16,291
9/5/16,432
9/6/16,768
9/7/16,639
9/8/16,618
9/9/16,495
9/10/16,298
9/11/16,428
,"11,790"
