# ----------------------------------------
# Library Website
# New vs Returning
# 20170821-20170910
# ----------------------------------------

User Type,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
New Visitor,desktop,"4,956","4,958","4,958",42.74%,2.08,00:02:20,0.00%,0,$0.00
Returning Visitor,desktop,"3,347",0,"8,928",22.65%,2.49,00:04:47,0.00%,0,$0.00
New Visitor,mobile,"1,436","1,436","1,436",58.57%,1.76,00:01:17,0.00%,0,$0.00
Returning Visitor,mobile,581,0,934,55.25%,1.68,00:01:19,0.00%,0,$0.00
New Visitor,tablet,236,236,236,41.53%,2.26,00:02:46,0.00%,0,$0.00
Returning Visitor,tablet,81,0,145,31.72%,2.15,00:02:36,0.00%,0,$0.00
,,"10,637","6,630","16,637",33.91%,2.25,00:03:30,0.00%,0,$0.00

Day Index,Users
8/21/17,863
8/22/17,906
8/23/17,834
8/24/17,724
8/25/17,564
8/26/17,271
8/27/17,378
8/28/17,818
8/29/17,805
8/30/17,784
8/31/17,693
9/1/17,516
9/2/17,246
9/3/17,305
9/4/17,477
9/5/17,819
9/6/17,844
9/7/17,780
9/8/17,627
9/9/17,381
9/10/17,599
,"13,234"
